,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1371886393245495297,1371886393245495297,1615918179000.0,2021-03-16 18:09:39,+0000,,Today visited Expo Center with my mother for her first dose of vaccination. Extremely helpful staff. Superb arrangements. Kudos to @CaptainUsman &amp; @DCLahore for proving that public sector can be efficient &amp; deliver if there is intent &amp; right people lead an initiative. 👍🏼,en,[],[],1386063854,1386063854,SaifUllah_Dogar,S A I F,2,18,https://twitter.com/SaifUllah_Dogar/status/1371886393245495297,[],[],0,,False,49,0,0,,dose,,"28.7041,77.1025,400mi",,,,,[],,,,
1,1371840814578548741,1371840814578548741,1615907312000.0,2021-03-16 15:08:32,+0000,,@anjanaomkashyap  is it possible to get data n the effectiveness of the vaccine ! (1) How many  developed corona even after two doses of vaccine !  (2) The amount of antibodies in the blood two weeks after the second dose!,en,[],[],2160285660,2160285660,DrRupani,Dr Narain Rupani ( surgeon ),2,15,https://twitter.com/DrRupani/status/1371840814578548741,[],[],0,,False,0,0,0,,dose,,"28.7041,77.1025,400mi",,,,,[],,,,
2,1371819206233104387,1371799495646736388,1615902160000.0,2021-03-16 13:42:40,+0000,,"@StayingReal0511 More alarmingly, over 12,000 people who received a dose of the Pfizer/BioNtech vaccine in the country have tested positive for coronavirus   https://t.co/cedvoHlLQt  https://t.co/4NBoOBkpyT",en,[],[],117822932,117822932,V_with_RG,Vibhor Ravi Gupta 🇮🇳,2,13,https://twitter.com/V_with_RG/status/1371819206233104387,['https://indianexpress.com/article/world/israel-covid-vaccine-pfizer-cases-surge-7158535/'],['https://pbs.twimg.com/media/EwmuSxsUYAE-kNl.jpg'],1,https://pbs.twimg.com/media/EwmuSxsUYAE-kNl.jpg,False,1,0,1,,dose,,"28.7041,77.1025,400mi",,,,,"[{'screen_name': 'StayingReal0511', 'name': 'Shree Speaks', 'id': '1098544654113558528'}]",,,,
3,1371819165070225416,1371802619312701440,1615902150000.0,2021-03-16 13:42:30,+0000,,"@StayingReal0511 More alarmingly, over 12,000 people who received a dose of the Pfizer/BioNtech vaccine in the country have tested positive for coronavirus   https://t.co/cedvoHlLQt  https://t.co/Pn0bRa2dXg",en,[],[],117822932,117822932,V_with_RG,Vibhor Ravi Gupta 🇮🇳,2,13,https://twitter.com/V_with_RG/status/1371819165070225416,['https://indianexpress.com/article/world/israel-covid-vaccine-pfizer-cases-surge-7158535/'],['https://pbs.twimg.com/media/EwmuQLgVoAIZwNK.jpg'],1,https://pbs.twimg.com/media/EwmuQLgVoAIZwNK.jpg,False,1,1,0,,dose,,"28.7041,77.1025,400mi",,,,,"[{'screen_name': 'StayingReal0511', 'name': 'Shree Speaks', 'id': '1098544654113558528'}]",,,,
4,1371802898733035520,1371802898733035520,1615898272000.0,2021-03-16 12:37:52,+0000,,My mother’s b.p shot up to 180/90 for 25 days after first dose of covishield . Brother in law second dose of vaccine on 25 feb had a brain haemorrhage on 13 march. He is neither diabetic nor hypertensive . Rather he is into meditation. Hope this feedback helps the researchers.,en,[],[],763983701243854849,763983701243854849,IraAtreya,Ira,2,12,https://twitter.com/IraAtreya/status/1371802898733035520,[],[],0,,False,0,0,0,https://twitter.com/DrKKAggarwal/status/1371461810881134594,dose,,"28.7041,77.1025,400mi",,,,,[],,,,
5,1371725871090831363,1371696665053126656,1615879907000.0,2021-03-16 07:31:47,+0000,,@Neer_Dose 🤣🤣😂👏👏👌👌  https://t.co/0xoIwHUCBP,und,[],[],838240916,838240916,meghasvisione,Megha Sharma,2,07,https://twitter.com/meghasvisione/status/1371725871090831363,[],['https://pbs.twimg.com/tweet_video_thumb/EwlZZ0XVIAAE8LO.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/EwlZZ0XVIAAE8LO.jpg,False,1,1,0,,dose,,"28.7041,77.1025,400mi",,,,,"[{'screen_name': 'Neer_Dose', 'name': 'яιcнιє', 'id': '1376258766'}]",,,,
6,1371630985788456963,1371511227244027905,1615857285000.0,2021-03-16 01:14:45,+0000,,@HuzaifaQureshii First dose or second?  Which vaccine please?,en,[],[],145623354,145623354,adnan_a_malik,Muhammad Adnan Ashraf,2,01,https://twitter.com/adnan_a_malik/status/1371630985788456963,[],[],0,,False,0,1,0,,dose,,"28.7041,77.1025,400mi",,,,,"[{'screen_name': 'HuzaifaQureshii', 'name': 'Huzaifa.', 'id': '989740826'}]",,,,
7,1371497097615142922,1371316933505679360,1615825363000.0,2021-03-15 16:22:43,+0000,,@Soldier_forlife How exactly are we going to handle the load on health infra in terms of registrations and delivering the dose especially when it starts for 18-35 age group i believe that makes for the most of our population,en,[],[],140711951,140711951,hrt2mouth,Rawat Sahil,1,16,https://twitter.com/hrt2mouth/status/1371497097615142922,[],[],0,,False,1,1,0,,dose,,"28.7041,77.1025,400mi",,,,,"[{'screen_name': 'Soldier_forlife', 'name': 'Maj Gen Sharabh Pachory (Retd) 🇮🇳', 'id': '1026125819251445761'}]",,,,
8,1371484829288660993,1371484829288660993,1615822438000.0,2021-03-15 15:33:58,+0000,,Parents got vaccinated today with their first dose.  Little bit of wait and they got their e-certificates on the  https://t.co/iwAu0EgVc3 almost immediately.👍,en,[],[],1354208443,1354208443,AnandSukhinder,Sukhinder Anand,1,15,https://twitter.com/AnandSukhinder/status/1371484829288660993,['http://www.cowin.gov.in'],[],0,,False,0,1,0,,dose,,"28.7041,77.1025,400mi",,,,,[],,,,
9,1371431250947235849,1371431250947235849,1615809664000.0,2021-03-15 12:01:04,+0000,,आज मैंने भी 2nd dose Covid-19 का टीका लिया!आप सब भी अपनी बारी आने पे टिका जरूर ले! यह विल्कुल सुरक्षित है! @Vijay07K  @Vijay07K  @LChamparan  @snehil_suman4  @ShashiR35902957  @Bhushan93297233  https://t.co/vLVuPvZANp,hi,[],[],701649091269234688,701649091269234688,brajeshjeevika,BRAJESH YADAV 981K,1,12,https://twitter.com/brajeshjeevika/status/1371431250947235849,[],['https://pbs.twimg.com/media/EwhNcucUUAY4Jz1.jpg'],1,https://pbs.twimg.com/media/EwhNcucUUAY4Jz1.jpg,False,1,0,0,,dose,,"28.7041,77.1025,400mi",,,,,[],,,,
10,1371423573877882881,1371423573877882881,1615807834000.0,2021-03-15 11:30:34,+0000,,Happy to share that my mother has taken the first dose of the COVID-19 vaccine today. I urge everyone to help and motivate around you who are eligible to take the vaccine.,en,[],[],1337370469691953152,1337370469691953152,SatyamKumarSr20,Satyam Kumar Srivastav,1,11,https://twitter.com/SatyamKumarSr20/status/1371423573877882881,[],[],0,,False,0,0,0,,dose,,"28.7041,77.1025,400mi",,,,,[],,,,
11,1371423280272347139,1371423280272347139,1615807764000.0,2021-03-15 11:29:24,+0000,,"First dose of ""COVISHIELD"" successful.... ये हमारी भारतीय वेक्सीन पूर्णतः सुरक्षित है, आप भी जरूर लगवाएं... @bhargav_gopal @OfBhargava @BHARGAVABHISHEK @GSRajput_18 @SanjayPathak3 @vaibhavpawarmp @vdsharmabjp @JM_Scindia  https://t.co/9GbD7hCaP0",hi,[],[],484200114,484200114,Devraj_soni85,Devraj soni,1,11,https://twitter.com/Devraj_soni85/status/1371423280272347139,[],['https://pbs.twimg.com/media/EwhGMXYVgA0-TsI.jpg'],1,https://pbs.twimg.com/media/EwhGMXYVgA0-TsI.jpg,False,3,0,0,,dose,,"28.7041,77.1025,400mi",,,,,[],,,,
12,1371414534674477056,1371414534674477056,1615805679000.0,2021-03-15 10:54:39,+0000,,Anyone knows if both doses of vaccine need to be administered at the same location or 2nd dose can be taken at any center (assuming same vaccine at the 2nd center too)?,en,[],[],14415088,14415088,Bl4ck0W4ck0,Blacko Wacko,1,10,https://twitter.com/Bl4ck0W4ck0/status/1371414534674477056,[],[],0,,False,0,0,0,,dose,,"28.7041,77.1025,400mi",,,,,[],,,,
13,1371390387835695109,1371390387835695109,1615799922000.0,2021-03-15 09:18:42,+0000,,"Thanks modi ji for ...(Dear Kamal Oberoi, 1st Dose of COVISHIELD successful on 15-03-2021 at 01:19 PM.  https://t.co/7GTYCjA1c4",en,[],[],1279108593258598400,1279108593258598400,KamalOberoi13,Kamal Oberoi (BJP),1,09,https://twitter.com/KamalOberoi13/status/1371390387835695109,[],['https://pbs.twimg.com/media/EwgoPEJXEAMnyPF.jpg'],1,https://pbs.twimg.com/media/EwgoPEJXEAMnyPF.jpg,False,0,0,0,,dose,,"28.7041,77.1025,400mi",,,,,[],,,,
14,1371351581401096192,1371351581401096192,1615790670000.0,2021-03-15 06:44:30,+0000,,The myth spreading online that only one dose of #COVIDVaccine is required to immune yourself from COVID-19 is FAKE. Don’t fall prey to such rumours! Follow #MyGovMythBusters to stay updated with the latest information around vaccination. #IndiaFightsCorona  https://t.co/Q20AW2nRX7  https://t.co/Hk06H7Xt3v,en,"['covidvaccine', 'mygovmythbusters', 'indiafightscorona']",[],1249595727535210497,1249595727535210497,FOBSrinagar,Field Outreach Bureau Srinagar (J&K),1,06,https://twitter.com/FOBSrinagar/status/1371351581401096192,[],"['https://pbs.twimg.com/media/EwgE_DJVoAEE7N9.jpg', 'https://pbs.twimg.com/media/EwfN71QVkAQjMIp.jpg']",1,https://pbs.twimg.com/media/EwgE_DJVoAEE7N9.jpg,False,0,0,0,,dose,,"28.7041,77.1025,400mi",,,,,[],,,,
15,1371340348404998147,1371340348404998147,1615787991000.0,2021-03-15 05:59:51,+0000,,Received first dose covid-19 vaccine. Highly appreciated efforts of @SHCMEHealth @Dr_YasminRashid @PSHDept @UsmanAKBuzdar,en,[],[],373260739,373260739,jamal_A_nasir,Jamal Abdul Nasir,1,05,https://twitter.com/jamal_A_nasir/status/1371340348404998147,[],[],0,,False,0,0,0,,dose,,"28.7041,77.1025,400mi",,,,,[],,,,
16,1371338612034269186,1371338612034269186,1615787578000.0,2021-03-15 05:52:58,+0000,,"Modi's mother takes first dose of Covid vaccine, PM makes an appeal to citizens   https://t.co/E1jh72NU4W via NaMo App  https://t.co/XUHcK5pojh",en,[],[],806690697587789824,806690697587789824,DipankarfrIndia,Dipankar Bhattachary,1,05,https://twitter.com/DipankarfrIndia/status/1371338612034269186,['https://www.livemint.com/news/india/modis-mother-takes-first-dose-of-covid-19-vaccine-shares-pm-11615451611886.html'],['https://pbs.twimg.com/media/Ewf5MwiUUAA7d5d.jpg'],1,https://pbs.twimg.com/media/Ewf5MwiUUAA7d5d.jpg,False,0,0,0,,dose,,"28.7041,77.1025,400mi",,,,,[],,,,
